ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
TSLA,501.25,542.96,497.0,524.0,17771485.0
AAPL,246.5,248.72,239.13,240.91,44054638.0
AMZN,1932.97,1944.96,1893.0,1907.7,4121875.0
FB,161.615,164.15,158.035,159.6,19507559.0
GOOG,1122.0,1129.69,1097.45,1105.62,2344173.0
MSFT,153.0,157.75,150.82,152.11,57969926.0
NFLX,376.05,380.233,361.02,364.08,6672454.0
TSLA,504.0,513.955,475.1,481.56,13353180.0
AAPL,240.34,245.15,236.9,244.93,41483493.0
AMZN,1901.64,1927.526,1890.0,1918.83,4335985.0
FB,159.1,161.351,155.92,158.19,20886309.0
GOOG,1098.26,1126.86,1096.4,1120.84,1964881.0
MSFT,151.86,155.48,150.36,155.26,49630735.0
NFLX,364.08,370.99,360.06,370.08,4592477.0
TSLA,481.03,494.26,446.4,454.47,19858427.0
AAPL,242.8,245.7,238.97400000000002,241.41,32470017.0
AMZN,1911.15,1926.33,1889.15,1906.59,3609870.0
FB,157.15,157.91,150.83,154.18,25983317.0
GOOG,1119.015,1123.54,1079.81,1097.88,2313400.0
MSFT,155.1,157.38,152.19,153.83,41243284.0
NFLX,367.47,370.9,357.51,361.76,4860768.0
TSLA,509.5,515.49,468.39,480.01,22562076.0
AAPL,250.9,263.11,249.38,262.47,50455071.0
AMZN,1936.0,1998.52,1930.02,1997.59,5773181.0
FB,160.15,166.2,158.51,165.55,28453581.0
GOOG,1138.0,1194.66,1130.94,1186.92,2664723.0
MSFT,160.32,166.5,157.58,165.27,67111697.0
NFLX,365.22,380.29,361.71,379.96,8183921.0
TSLA,511.2,521.0,497.96,516.24,14901836.0
AAPL,270.8,271.7,259.0,259.43,50721831.0
AMZN,2017.11,2035.72,1997.62,2011.6,5113983.0
FB,171.79,173.39,166.01,168.83,31411919.0
GOOG,1221.0,1225.0,1182.23,1186.51,2387329.0
MSFT,169.585,170.0,163.26,163.49,62769038.0
NFLX,380.0,381.33,369.34,372.28,7046438.0
TSLA,545.0,565.0,532.34,545.45,17919784.0
AAPL,262.74,267.37,261.23,266.07,42223821.0
AMZN,2021.0,2044.0,2011.15,2043.0,3977313.0
FB,171.25,175.0,167.74,174.28,21664198.0
GOOG,1206.5,1219.07,1188.16,1210.28,1975135.0
MSFT,165.67,166.67,163.5,165.13,48318234.0
NFLX,374.01,378.39,368.31,371.12,6908879.0
TSLA,554.2,557.2080000000001,533.33,548.84,12656024.0
AAPL,268.7,270.07,264.7,267.99,40529123.0
AMZN,2044.3,2053.0,2017.66,2042.76,4655617.0
FB,175.9,177.08,171.57,175.19,23534287.0
GOOG,1224.08,1225.57,1196.735,1211.45,2175421.0
MSFT,166.36,167.37,163.33,165.14,51431775.0
NFLX,371.06,372.1,363.03,370.72,7711296.0
TSLA,562.09,575.182,557.11,573.0,13650000.0
AAPL,268.31,273.7,265.83,273.25,32755731.0
AMZN,2040.0,2180.0,2038.0,2168.87,6716709.0
FB,173.67,175.0,169.45,174.79,19355355.0
GOOG,1209.18,1220.51,1187.598,1217.56,1739828.0
MSFT,164.35,165.57,162.3,165.51,41905264.0
NFLX,371.31,400.51,367.7,396.72,11692922.0
TSLA,590.16,652.0,580.53,650.95,22475421.0
